ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
917	2,3,1,5,26,24,12,20,0,14,72,103,0,26,12,49	3,2,2,5,16,26,13,13,2,20,63,57,0,28,4,21	0,2,8,4,44,14,13,22,3,40,91,36,1,45,6,35	0,1,0,5,42,10,9,27,12,4,51,29,2,36,7,30	272	269
918	17,86,81,41,5,53,20,9,70,1,40,9,5,27,26,34	25,102,91,35,16,21,26,14,76,59,31,21,2,37,18,23	55,60,80,52,14,21,15,3,10,13,28,13,4,13,22,33	39,82,96,45,11,52,12,14,50,37,49,10,13,22,36,54	272	269
921	16,5,9,19,466,122,68,462,38,554,753,759,1,643,108,448	0,0,0,2,0,0,0,4,1,0,2,0,0,1,3,0	1,12,6,11,404,144,68,449,15,233,849,367,3,381,86,504	0,1,0,1,0,0,0,0,2,1,1,0,0,3,2,1	287	269
922	0,2,2,4,5,2,6,2,5,4,14,6,0,10,0,7	0,2,1,0,3,3,0,3,1,2,6,2,0,7,0,10	4,2,0,0,3,0,0,1,6,0,2,0,0,6,1,3	0,2,0,1,2,5,0,3,5,8,2,0,0,6,4,13	272	269
923	565,1826,2080,1712,2159,895,766,2052,4033,1732,2740,2059,107,2403,1108,1762	14,42,42,34,64,29,13,37,91,39,59,51,1,64,25,32	1940,2233,1886,3269,1457,954,778,1420,2357,1349,3019,2423,157,1494,1050,1552	51,74,41,41,42,30,22,30,79,33,56,57,5,37,14,23	309	269
924	0,1,8,8,11,4,3,60,22,11,0,55,49,9,393,3	0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0	0,0,3,10,14,2,1,80,38,0,0,35,59,1,446,0	0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0	272	269
925	0,0,0,3,2,1,0,22,4,2,0,4,9,0,77,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,1,3,1,0,0,13,3,0,0,11,6,0,78,0	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	272	269
927	8,4,2,10,82,26,1119,27,17,60,295,42,0,80,16,88	0,0,0,0,10,1,3,8,3,9,22,9,0,21,0,13	0,5,3,3,50,26,818,22,29,35,339,51,1,64,8,84	0,0,1,0,6,1,9,2,19,16,32,12,0,14,0,13	357	269
928	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	311	269
930	63,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0	78,0,0,3,0,23,0,0,0,0,1,0,0,4,0,0	3,0,0,0,0,10,1,0,0,0,0,0,0,2,0,0	2,0,0,0,0,16,0,0,0,0,1,0,0,5,0,0	272	269
