ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
847	0,0,0,0,0,2,1,0,0,0,12,0,0,0,1,0	0,0,0,0,0,0,2,0,0,6,1,2,0,0,0,0	0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0	0,0,0,0,0,0,1,2,0,0,3,1,0,1,2,0	419	269
850	0,0,0,0,0,1,155,0,0,0,6,0,0,0,0,0	0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0	0,0,0,0,0,2,111,2,0,0,6,0,0,0,1,0	0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0	304	269
851	0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,110,0,0,0,8,0,0,0,0,0	0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0	538	269
852	0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0	0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0	4,0,0,0,1,2,2,0,0,0,1,0,0,1,0,1	0,0,0,0,5,3,0,0,0,5,0,2,0,2,0,0	274	269
854	0,0,0,0,0,1,0,0,0,0,1,3,0,2,0,2	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,1,0,2,3,0,0,2,0,3	0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0	292	269
855	1,0,0,0,4,9,0,6,0,1,10,53,0,7,2,14	0,0,4,1,6,25,2,1,5,6,33,70,0,11,10,18	0,1,0,0,16,7,4,7,0,22,19,16,0,14,3,29	1,0,3,1,28,10,4,12,2,2,29,55,1,49,6,45	292	269
856	41,92,83,42,91,253,18,134,44,74,105,143,36,85,392,107	4,2,0,0,0,1,0,0,0,0,0,2,0,0,4,0	77,62,72,54,46,321,19,77,38,52,43,87,55,43,382,71	0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0	314	269
858	1,4,0,0,77,10,86,19,0,37,183,43,2,100,8,40	0,0,0,1,3,1,15,3,1,0,38,1,0,12,0,8	2,7,6,0,84,4,94,17,0,60,197,21,0,109,7,37	0,2,0,1,13,0,13,9,0,0,21,6,0,13,0,1	316	269
859	0,5,0,0,59,2,60,17,1,26,137,26,0,77,7,49	0,0,0,0,1,0,6,1,0,2,12,1,0,3,1,5	3,5,3,1,50,2,63,10,0,70,150,15,0,63,4,26	0,0,0,0,10,4,0,0,0,0,12,1,0,10,1,0	316	269
866	1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0	0,0,0,1,0,0,2,0,2,1,2,0,1,0,0,2	0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0	0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0	304	269
