ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
465	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	538	269
466	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	538	269
480	0,0,0,0,5,0,0,3,0,4,6,3,0,4,0,2	1,3,3,5,157,40,4,209,23,76,246,296,2,259,49,132	0,0,0,0,2,3,0,1,0,2,2,0,0,1,0,4	1,5,1,3,213,53,8,242,16,65,325,113,0,190,51,138	538	269
482	1,2,3,3,2,0,0,0,0,0,4,4,0,3,0,1	0,3,0,0,0,0,0,0,0,1,1,4,1,1,0,1	0,0,1,0,3,2,0,1,2,2,2,0,0,1,0,9	0,0,1,0,1,4,0,1,0,1,6,0,0,3,0,12	385	269
488	0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0	29,37,96,28,6,4,13,0,29,12,4,8,11,6,6,3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	95,65,70,13,0,9,10,0,13,2,3,0,13,4,6,5	538	269
497	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	538	269
502	0,4,0,0,5,14,2,3,0,6,28,6,0,12,3,16	1,2,0,3,24,19,5,7,8,34,68,36,0,34,9,36	1,1,2,2,16,6,2,7,3,13,16,2,0,11,3,9	1,8,3,2,30,8,11,20,2,22,46,16,1,13,7,16	355	269
507	0,0,0,1,3,0,1,0,3,1,0,0,0,2,0,2	0,0,0,0,2,0,4,0,4,25,3,1,0,5,0,19	0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1	1,0,0,0,3,1,3,0,7,9,2,0,0,2,0,18	367	269
508	3,10,11,7,6,7,2,0,17,16,8,3,0,14,1,12	35,102,143,183,321,169,33,213,367,459,403,271,4,541,41,517	2,15,12,9,6,13,0,1,18,22,8,5,0,9,0,16	105,215,212,254,275,166,42,240,307,379,415,237,2,325,54,510	343	269
509	0,0,0,0,0,0,30,1,0,0,3,1,0,0,0,0	1,0,9,1,33,50,5049,41,0,24,864,139,3,36,26,67	0,0,0,0,1,0,55,1,0,0,1,1,0,0,0,0	0,3,1,1,95,48,5079,61,3,34,889,69,1,62,27,72	538	269
