ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	IncLevel1	IncLevel2	IncLevelDifference
538	0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0	0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0	345	269	NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,1.0,NA,0.494,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	0.127
539	1,4,7,12,11,47,13,17,4,5,23,102,2,16,9,9	4,1,0,2,5,12,2,8,18,0,13,17,0,14,5,7	4,3,9,10,12,45,3,11,11,4,10,24,0,5,14,6	2,5,5,9,4,9,0,4,3,0,9,1,0,3,8,1	678	269	0.09,0.613,1.0,0.704,0.466,0.608,0.721,0.457,0.081,1.0,0.412,0.704,1.0,0.312,0.417,0.338	0.442,0.192,0.417,0.306,0.543,0.665,1.0,0.522,0.593,1.0,0.306,0.905,NA,0.398,0.41,0.704	-0.003
541	0,4,5,0,2,7,4,1,3,7,8,0,0,3,2,4	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	3,4,6,1,1,0,1,1,1,2,7,1,0,5,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1975	269	NA,1.0,1.0,NA,1.0,0.488,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA,1.0	-0.043
544	0,6,0,4,3,0,0,1,1,0,5,12,0,1,0,1	1,6,0,5,1,0,1,2,3,0,3,1,0,3,3,1	0,6,4,1,1,0,1,3,2,5,5,3,0,2,0,2	0,0,2,2,4,1,0,7,7,5,3,5,0,1,8,4	1210	269	0.0,0.182,NA,0.151,0.4,NA,0.0,0.1,0.069,NA,0.27,0.727,NA,0.069,0.0,0.182	NA,1.0,0.308,0.1,0.053,0.0,1.0,0.087,0.06,0.182,0.27,0.118,NA,0.308,0.0,0.1	-0.077
545	0,6,0,4,3,1,0,1,1,2,5,16,0,1,0,1	0,0,1,0,0,1,3,0,9,0,8,2,0,5,0,0	0,6,4,1,1,1,1,4,2,8,7,3,0,2,0,2	0,0,0,3,1,1,2,3,0,1,6,2,0,4,2,2	1298	269	NA,1.0,0.0,1.0,1.0,0.172,0.0,1.0,0.023,1.0,0.115,0.624,NA,0.04,NA,1.0	NA,1.0,1.0,0.065,0.172,0.172,0.094,0.216,1.0,0.624,0.195,0.237,NA,0.094,0.0,0.172	0.176
546	0,6,0,4,3,1,0,1,1,2,5,16,0,1,0,1	6,28,23,18,12,8,22,20,60,4,36,53,0,42,21,23	0,6,4,1,1,1,1,4,2,8,7,3,0,2,0,2	4,27,28,41,17,21,11,8,61,3,24,19,1,18,17,18	1228	269	0.0,0.045,0.0,0.046,0.052,0.027,0.0,0.011,0.004,0.099,0.03,0.062,NA,0.005,0.0,0.009	0.0,0.046,0.03,0.005,0.013,0.01,0.02,0.099,0.007,0.369,0.06,0.033,0.0,0.024,0.0,0.024	-0.02
550	0,1,0,0,3,1,0,0,1,6,0,0,0,5,0,2	0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3	0,0,0,1,0,1,0,0,0,3,1,1,0,3,0,0	0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0	774	269	NA,1.0,NA,NA,0.207,0.258,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,0.188	NA,NA,NA,1.0,NA,0.148,0.0,0.0,NA,1.0,1.0,1.0,NA,0.343,NA,NA	0.103
552	99,17,40,190,257,727,54,518,62,382,360,678,177,545,926,483	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	7,4,14,71,351,509,72,365,42,236,255,320,181,539,745,579	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	295	269	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.0
553	0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,2,1,5,4,19,0,1,0,0,4,12,1,6,12,5	0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0	2,1,4,1,4,11,5,4,4,33,2,1,1,6,9,13	443	269	NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,NA,0.0,0.0,0.0,0.0,0.092,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.052,0.0,0.0,0.0,0.0,0.0,0.0	-0.004
561	0,0,0,0,2,1,0,0,2,7,8,3,0,4,0,8	0,0,0,0,3,0,0,0,0,1,6,0,0,7,0,25	0,0,0,2,3,1,0,0,3,5,2,0,0,1,0,9	0,0,0,0,4,0,0,1,0,3,5,0,0,10,0,26	361	269	NA,NA,NA,NA,0.332,1.0,NA,NA,1.0,0.839,0.498,1.0,NA,0.299,NA,0.193	NA,NA,NA,1.0,0.359,1.0,NA,0.0,1.0,0.554,0.23,NA,NA,0.069,NA,0.205	0.154
566	2,0,1,0,0,0,0,0,2,1,4,0,0,1,1,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,4,0,2,0,0,0,1,0,0,0,0,1,1,3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	655	269	1.0,NA,1.0,NA,NA,NA,NA,NA,1.0,0.291,1.0,NA,NA,1.0,1.0,1.0	0.0,NA,1.0,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,1.0,0.552	0.118
570	0,0,1,0,0,0,0,0,2,0,1,0,0,4,1,0	0,3,2,0,6,1,1,6,1,10,11,9,0,18,4,21	0,2,0,0,0,0,0,1,0,4,0,0,0,1,1,0	0,3,1,2,7,4,0,10,7,9,5,1,0,26,3,16	350	269	NA,0.0,0.278,NA,0.0,0.0,0.0,0.0,0.606,0.0,0.065,0.0,NA,0.146,0.161,0.0	NA,0.339,0.0,0.0,0.0,0.0,NA,0.071,0.0,0.255,0.0,0.0,NA,0.029,0.204,0.0	0.028
571	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,1,8,0,2,0,43,0,1,0,1,0,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,3,0,0,0,25,1,1,0,6,0,8	339	269	NA,NA,NA,NA,0.0,0.0,NA,0.0,1.0,0.0,NA,0.0,NA,0.0,NA,0.0	NA,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0,0.0,NA,0.0,NA,0.0	0.125
